,area_type,total_sqft,bath,price,location,bhk
0,Super built-up  Area,1056,2,39.07,Alandi Road,2
1,Plot  Area,2894,4,245,Alandi Road,4
2,Super built-up  Area,1084,2,50,Alandi Road,2
3,Super built-up  Area,1230,2,80,Alandi Road,2
4,Built-up  Area,4046,4,445,Alandi Road,4
5,Super built-up  Area,1750,3,130,Alandi Road,3
6,Built-up  Area,995,2,41,Alandi Road,2
9,Super built-up  Area,1360,2,95,Alandi Road,2
10,Built-up  Area,1040,2,50,Alandi Road,2
11,Super built-up  Area,1655,3,86.06,Alandi Road,3
13,Super built-up  Area,2790,5,198,Alandi Road,4
14,Super built-up  Area,1028,2,42,Alandi Road,2
15,Super built-up  Area,1300,2,57,Alandi Road,2
16,Super built-up  Area,1564,3,101,Alandi Road,3
17,Built-up  Area,1012,2,59,Alandi Road,2
18,Super built-up  Area,2519,5,185,Alandi Road,4
19,Super built-up  Area,1520,2,62,Alandi Road,2
20,Super built-up  Area,1550,3,78,Alandi Road,3
21,Super built-up  Area,950,2,46.5,Alandi Road,2
22,Super built-up  Area,1280,2,56,Alandi Road,2
23,Built-up  Area,1350,2,79,Alandi Road,2
24,Plot  Area,1500,2,85,Alandi Road,3
25,Super built-up  Area,3250,4,230,Alandi Road,4
26,Super built-up  Area,1150,2,77.5,Alandi Road,3
27,Super built-up  Area,1080,2,75,Alandi Road,3
28,Super built-up  Area,1743,3,93.25,Alandi Road,3
29,Super built-up  Area,984,2,45.91,Alandi Road,2
30,Plot  Area,4500,9,166,Alandi Road,9
31,Super built-up  Area,1225,2,55,Alandi Road,2
32,Built-up  Area,1100,2,50,Alandi Road,2
33,Super built-up  Area,1210,2,75,Alandi Road,2
34,Super built-up  Area,1250,2,72,Alandi Road,2
35,Super built-up  Area,900,2,42,Alandi Road,2
36,Super built-up  Area,1075,2,52.43,Alandi Road,2
37,Super built-up  Area,1265,2,82,Alandi Road,2
38,Super built-up  Area,900,2,41,Alandi Road,2
40,Built-up  Area,1100,2,48,Alandi Road,2
41,Super built-up  Area,1850,3,90,Alandi Road,3
43,Built-up  Area,1475,2,74,Alandi Road,3
44,Super built-up  Area,1265,2,65,Alandi Road,3
45,Super built-up  Area,1300,2,98,Alandi Road,2
46,Super built-up  Area,937,2,35,Alandi Road,2
47,Super built-up  Area,1000,2,58,Alandi Road,2
48,Super built-up  Area,700,2,43,Alandi Road,2
49,Super built-up  Area,1265,2,46.6,Alandi Road,2
50,Super built-up  Area,1008,2,32.25,Alandi Road,2
51,Super built-up  Area,2072,4,155,Alandi Road,3
53,Plot  Area,7000,4,550,Alandi Road,4
54,Built-up  Area,1102,2,52,Alandi Road,2
55,Super built-up  Area,1020,2,46.5,Alandi Road,2
56,Super built-up  Area,1855,3,145,Alandi Road,3
57,Super built-up  Area,1181,2,75,Alandi Road,2
59,Super built-up  Area,1130,2,45.2,Alandi Road,2
60,Super built-up  Area,1065,2,55,Alandi Road,2
61,Super built-up  Area,1540,3,85,Alandi Road,3
62,Super built-up  Area,1246,2,67.4,Alandi Road,2
63,Super built-up  Area,500,1,30,Alandi Road,1
64,Built-up  Area,1080,2,45,Alandi Road,2
65,Super built-up  Area,1756,3,128,Alandi Road,3
66,Super built-up  Area,914,2,32,Alandi Road,2
67,Super built-up  Area,1150,2,36.8,Alandi Road,2
68,Super built-up  Area,2144.6,4,145,Alandi Road,3
